name,address,type
YukariObject_HandleManager_ctor,0x0058B900,function
YukariObject_HandleManager_dtor,0x0058B610,function
YukariObject_HandleManager_scalar_deleting_destructor,0x0058B720,function
SuikaObject_HandleManager_ctor,0x005AE5E0,function
SuikaObject_HandleManager_dtor,0x005AE290,function
SuikaObject_HandleManager_scalar_deleting_destructor,0x005AE3A0,function
UdongeObject_HandleManager_ctor,0x005D2530,function
UdongeObject_HandleManager_dtor,0x005D2260,function
UdongeObject_HandleManager_scalar_deleting_destructor,0x005D2370,function
KomachiObject_HandleManager_ctor,0x005F73B0,function
KomachiObject_HandleManager_dtor,0x005F70C0,function
KomachiObject_HandleManager_scalar_deleting_destructor,0x005F71D0,function
AyaObject_HandleManager_ctor,0x00617D60,function
AyaObject_HandleManager_dtor,0x00617A20,function
AyaObject_HandleManager_scalar_deleting_destructor,0x00617B30,function
IkuObject_HandleManager_ctor,0x00630C10,function
IkuObject_HandleManager_dtor,0x00630940,function
IkuObject_HandleManager_scalar_deleting_destructor,0x00630A50,function
TenshiObject_HandleManager_ctor,0x0064AFE0,function
TenshiObject_HandleManager_dtor,0x0064AC70,function
TenshiObject_HandleManager_scalar_deleting_destructor,0x0064AD80,function
CSelectObject_HandleManager_ctor,0x004216F0,function
CSelectObject_HandleManager_dtor,0x00420C60,function
CSelectObject_HandleManager_scalar_deleting_destructor,0x00420D70,function
WeatherEffectObject_HandleManager_ctor,0x004368B0,function
WeatherEffectObject_HandleManager_dtor,0x00436090,function
WeatherEffectObject_HandleManager_scalar_deleting_destructor,0x004363C0,function
EffectObject_HandleManager_ctor,0x00436940,function
EffectObject_HandleManager_dtor,0x004362B0,function
EffectObject_HandleManager_scalar_deleting_destructor,0x00436400,function
SystemEffectObject_HandleManager_ctor,0x004569A0,function
SystemEffectObject_HandleManager_dtor,0x004361A0,function
SystemEffectObject_HandleManager_scalar_deleting_destructor,0x004363E0,function
CSelectObject_ObjectManagerBase_ctor,0x00421780,function
CSelectObject_ObjectManagerBase_dtor,0x00421950,function
CSelectObject_ObjectManagerBase_scalar_deleting_destructor,0x004230B0,function
WeatherEffectObject_ObjectManagerBase_ctor,0x00436D80,function
WeatherEffectObject_ObjectManagerBase_dtor,0x00437210,function
WeatherEffectObject_ObjectManagerBase_scalar_deleting_destructor,0x004378C0,function
EffectObject_ObjectManagerBase_ctor,0x00436DF0,function
EffectObject_ObjectManagerBase_dtor,0x004372F0,function
EffectObject_ObjectManagerBase_scalar_deleting_destructor,0x00437D00,function
SystemEffectObject_ObjectManagerBase_ctor,0x00456E40,function
SystemEffectObject_ObjectManagerBase_dtor,0x00437280,function
SystemEffectObject_ObjectManagerBase_scalar_deleting_destructor,0x004583C0,function
CSelectObject_EffectManager_spawn_effect,0x00422FB0,function
WeatherEffectObject_EffectManager_spawn_effect,0x004377C0,function
EffectObject_EffectManager_spawn_effect,0x00437C00,function
CSelectObject_EffectManager_ctor,0x004219C0,function
CSelectObject_EffectManager_dtor,0x004230D0,function
CSelectObject_EffectManager_scalar_deleting_destructor,0x00424240,function
WeatherEffectObject_EffectManager_ctor,0x00437430,function
WeatherEffectObject_EffectManager_dtor,0x00437D20,function
WeatherEffectObject_EffectManager_scalar_deleting_destructor,0x00438970,function
EffectObject_EffectManager_ctor,0x004378F0,function
EffectObject_EffectManager_dtor,0x00437DF0,function
EffectObject_EffectManager_scalar_deleting_destructor,0x00438990,function
InfoEffectObject_EffectManager_ctor,0x0046F090,function
InfoEffectObject_EffectManager_dtor,0x0046F500,function
InfoEffectObject_EffectManager_scalar_deleting_destructor,0x0046F780,function
ICharacterObjectManager_dtor,0x00491B90,function
ICharacterObjectManager_scalar_deleting_destructor,0x00491BA0,function
ReimuObjectManager_dtor,0x004939C0,function
MarisaObjectManager_dtor,0x004B9EA0,function
SakuyaObjectManager_dtor,0x004DF3B0,function
AliceObjectManager_dtor,0x004FABC0,function
PatchouliObjectManager_dtor,0x0051EE60,function
YoumuObjectManager_dtor,0x0053B2B0,function
RemiliaObjectManager_dtor,0x00555F70,function
YuyukoObjectManager_dtor,0x0056DDB0,function
YukariObjectManager_dtor,0x0058C070,function
SuikaObjectManager_dtor,0x005AEC00,function
UdongeObjectManager_dtor,0x005D2B70,function
KomachiObjectManager_dtor,0x005F79B0,function
AyaObjectManager_dtor,0x00618560,function
IkuObjectManager_dtor,0x00631230,function
TenshiObjectManager_dtor,0x0064B670,function
ReimuObjectManagerBase_scalar_deleting_destructor,0x004936B0,function
MarisaObjectManagerBase_scalar_deleting_destructor,0x004B9C70,function
SakuyaObjectManagerBase_scalar_deleting_destructor,0x004DF190,function
AliceObjectManagerBase_scalar_deleting_destructor,0x004FA9A0,function
PatchouliObjectManagerBase_scalar_deleting_destructor,0x0051EC40,function
YoumuObjectManagerBase_scalar_deleting_destructor,0x0053B000,function
RemiliaObjectManagerBase_scalar_deleting_destructor,0x00555D50,function
YuyukoObjectManagerBase_scalar_deleting_destructor,0x0056DB80,function
YukariObjectManagerBase_scalar_deleting_destructor,0x0058BCE0,function
SuikaObjectManagerBase_scalar_deleting_destructor,0x005AE9E0,function
UdongeObjectManagerBase_scalar_deleting_destructor,0x005D2930,function
KomachiObjectManagerBase_scalar_deleting_destructor,0x005F7790,function
AyaObjectManagerBase_scalar_deleting_destructor,0x00618160,function
