address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x00404BF0,65,0x00404C30,FUN_00404bf0,,,unclassified,0.00,unknown,undefined FUN_00404bf0(void),false,,,,
0x00404C40,35,0x00404C62,FUN_00404c40,,,unclassified,0.00,unknown,undefined FUN_00404c40(void),false,,,,
0x00404C70,66,0x00404CB1,FUN_00404c70,,,unclassified,0.00,unknown,undefined FUN_00404c70(void),false,,,,
0x00404CC0,482,0x00404EA1,FUN_00404cc0,,,unclassified,0.00,unknown,undefined FUN_00404cc0(void),false,,,,
0x00404EC0,99,0x00404F22,FUN_00404ec0,,,unclassified,0.00,unknown,undefined FUN_00404ec0(void),false,,,,
0x00404F30,101,0x00404F94,FUN_00404f30,,,unclassified,0.00,unknown,undefined FUN_00404f30(void),false,,,,
0x00404FA0,115,0x00405012,FUN_00404fa0,,,unclassified,0.00,unknown,undefined FUN_00404fa0(void),false,,,,
0x00405020,107,0x0040508A,FUN_00405020,,,unclassified,0.00,unknown,undefined FUN_00405020(void),false,,,,
0x00405090,148,0x00405123,FUN_00405090,,,unclassified,0.00,unknown,undefined FUN_00405090(void),false,,,,
0x00405130,193,0x004051F0,FUN_00405130,,,unclassified,0.00,unknown,undefined FUN_00405130(void),false,,,,
0x00405200,92,0x00405261,FUN_00405200,,,unclassified,0.00,unknown,undefined FUN_00405200(void),false,,,,
0x00405270,27,0x0040528D,FUN_00405270,,,unclassified,0.00,unknown,undefined FUN_00405270(void),false,,,,
0x00405290,85,0x004052E4,FUN_00405290,,,unclassified,0.00,unknown,undefined FUN_00405290(void),false,,,,
0x004052F0,123,0x0040536A,FUN_004052f0,,,unclassified,0.00,unknown,undefined FUN_004052f0(void),false,,,,
0x00405370,91,0x004053CA,FUN_00405370,,,unclassified,0.00,unknown,undefined FUN_00405370(void),false,,,,
0x004053D0,100,0x00405433,FUN_004053d0,,,unclassified,0.00,unknown,undefined FUN_004053d0(void),false,,,,
0x00405440,133,0x004054C4,FUN_00405440,,,unclassified,0.00,unknown,undefined FUN_00405440(void),false,,,,
